source_type,source_id,target_type,target_id,relation_type,evidence
cue,cue:1:2:patch666_main_sequences.xml:3,preset,1.8701264,reference_unresolved,preset:1.8701264
cue,cue:1:2:patch666_main_sequences.xml:3,preset,13.675235,reference_unresolved,preset:13.675235
cue,cue:1:2:patch666_main_sequences.xml:3,preset,4.5034332,reference_unresolved,preset:4.5034332
cue,cue:1:2:patch666_main_sequences.xml:3,preset,1.8701264,value_reference,atom:text=1.8701264
cue,cue:1:2:patch666_main_sequences.xml:3,preset,13.675235,value_reference,atom:text=13.675235
cue,cue:1:2:patch666_main_sequences.xml:3,preset,4.5034332,value_reference,atom:text=4.5034332
cue,cue:1:6:patch666_main_sequences.xml:7,preset,13.414124,reference_unresolved,preset:13.414124
cue,cue:1:6:patch666_main_sequences.xml:7,preset,3.1520615,reference_unresolved,preset:3.1520615
cue,cue:1:6:patch666_main_sequences.xml:7,preset,13.414124,value_reference,atom:text=13.414124
cue,cue:1:6:patch666_main_sequences.xml:7,preset,3.1520615,value_reference,atom:text=3.1520615
cue,cue:1:7:patch666_main_sequences.xml:8,preset,10.606071,reference_unresolved,preset:10.606071
cue,cue:1:7:patch666_main_sequences.xml:8,preset,13.414124,reference_unresolved,preset:13.414124
cue,cue:1:7:patch666_main_sequences.xml:8,preset,13.675219,reference_unresolved,preset:13.675219
cue,cue:1:7:patch666_main_sequences.xml:8,preset,10.606071,value_reference,atom:text=10.606071
cue,cue:1:7:patch666_main_sequences.xml:8,preset,13.414124,value_reference,atom:text=13.414124
cue,cue:1:7:patch666_main_sequences.xml:8,preset,13.675219,value_reference,atom:text=13.675219
cue,cue:1:8:patch666_main_sequences.xml:9,preset,1.7094114,reference_unresolved,preset:1.7094114
cue,cue:1:8:patch666_main_sequences.xml:9,preset,1.7094114,value_reference,atom:text=1.7094114
cue,cue:1:11:patch666_main_sequences.xml:12,preset,10.804119,reference_unresolved,preset:10.804119
cue,cue:1:11:patch666_main_sequences.xml:12,preset,4.3520813,reference_unresolved,preset:4.3520813
cue,cue:1:11:patch666_main_sequences.xml:12,preset,10.804119,value_reference,atom:text=10.804119
cue,cue:1:11:patch666_main_sequences.xml:12,preset,4.3520813,value_reference,atom:text=4.3520813
cue,cue:1:18:patch666_main_sequences.xml:19,preset,1.8701264,reference_unresolved,preset:1.8701264
cue,cue:1:18:patch666_main_sequences.xml:19,preset,13.675235,reference_unresolved,preset:13.675235
cue,cue:1:18:patch666_main_sequences.xml:19,preset,1.870136,reference_unresolved,preset:1.870136
cue,cue:1:18:patch666_main_sequences.xml:19,preset,13.675242,reference_unresolved,preset:13.675242
cue,cue:1:18:patch666_main_sequences.xml:19,preset,1.8701264,value_reference,atom:text=1.8701264
cue,cue:1:18:patch666_main_sequences.xml:19,preset,13.675235,value_reference,atom:text=13.675235
cue,cue:1:18:patch666_main_sequences.xml:19,preset,1.870136,value_reference,atom:text=1.870136
cue,cue:1:18:patch666_main_sequences.xml:19,preset,13.675242,value_reference,atom:text=13.675242
cue,cue:1:20:patch666_main_sequences.xml:21,preset,1.8701264,reference_unresolved,preset:1.8701264
cue,cue:1:20:patch666_main_sequences.xml:21,preset,13.675235,reference_unresolved,preset:13.675235
cue,cue:1:20:patch666_main_sequences.xml:21,preset,1.870136,reference_unresolved,preset:1.870136
cue,cue:1:20:patch666_main_sequences.xml:21,preset,13.675242,reference_unresolved,preset:13.675242
cue,cue:1:20:patch666_main_sequences.xml:21,preset,1.8701264,value_reference,atom:text=1.8701264
cue,cue:1:20:patch666_main_sequences.xml:21,preset,13.675235,value_reference,atom:text=13.675235
cue,cue:1:20:patch666_main_sequences.xml:21,preset,1.870136,value_reference,atom:text=1.870136
cue,cue:1:20:patch666_main_sequences.xml:21,preset,13.675242,value_reference,atom:text=13.675242
cue,cue:1:22:patch666_main_sequences.xml:23,preset,1.8701264,reference_unresolved,preset:1.8701264
cue,cue:1:22:patch666_main_sequences.xml:23,preset,13.675235,reference_unresolved,preset:13.675235
cue,cue:1:22:patch666_main_sequences.xml:23,preset,9.4017172,reference_unresolved,preset:9.4017172
cue,cue:1:22:patch666_main_sequences.xml:23,preset,8.1041193,reference_unresolved,preset:8.1041193
cue,cue:1:22:patch666_main_sequences.xml:23,preset,13.652069,reference_unresolved,preset:13.652069
cue,cue:1:22:patch666_main_sequences.xml:23,preset,1.870136,reference_unresolved,preset:1.870136
cue,cue:1:22:patch666_main_sequences.xml:23,preset,13.675242,reference_unresolved,preset:13.675242
cue,cue:1:22:patch666_main_sequences.xml:23,preset,4.5584116,reference_unresolved,preset:4.5584116
cue,cue:1:22:patch666_main_sequences.xml:23,preset,1.8701264,value_reference,atom:text=1.8701264
cue,cue:1:22:patch666_main_sequences.xml:23,preset,13.675235,value_reference,atom:text=13.675235
cue,cue:1:22:patch666_main_sequences.xml:23,preset,9.4017172,value_reference,atom:text=9.4017172
cue,cue:1:22:patch666_main_sequences.xml:23,preset,8.1041193,value_reference,atom:text=8.1041193
cue,cue:1:22:patch666_main_sequences.xml:23,preset,13.652069,value_reference,atom:text=13.652069
cue,cue:1:22:patch666_main_sequences.xml:23,preset,1.870136,value_reference,atom:text=1.870136
cue,cue:1:22:patch666_main_sequences.xml:23,preset,13.675242,value_reference,atom:text=13.675242
cue,cue:1:22:patch666_main_sequences.xml:23,preset,4.5584116,value_reference,atom:text=4.5584116
cue,cue:1:23:patch666_main_sequences.xml:24,preset,1.8701264,reference_unresolved,preset:1.8701264
cue,cue:1:23:patch666_main_sequences.xml:24,preset,13.675235,reference_unresolved,preset:13.675235
cue,cue:1:23:patch666_main_sequences.xml:24,preset,9.4017172,reference_unresolved,preset:9.4017172
cue,cue:1:23:patch666_main_sequences.xml:24,preset,8.1041193,reference_unresolved,preset:8.1041193
cue,cue:1:23:patch666_main_sequences.xml:24,preset,13.652069,reference_unresolved,preset:13.652069
cue,cue:1:23:patch666_main_sequences.xml:24,preset,1.870136,reference_unresolved,preset:1.870136
cue,cue:1:23:patch666_main_sequences.xml:24,preset,13.675242,reference_unresolved,preset:13.675242
cue,cue:1:23:patch666_main_sequences.xml:24,preset,4.5584116,reference_unresolved,preset:4.5584116
cue,cue:1:23:patch666_main_sequences.xml:24,preset,1.8701264,value_reference,atom:text=1.8701264
cue,cue:1:23:patch666_main_sequences.xml:24,preset,13.675235,value_reference,atom:text=13.675235
cue,cue:1:23:patch666_main_sequences.xml:24,preset,9.4017172,value_reference,atom:text=9.4017172
cue,cue:1:23:patch666_main_sequences.xml:24,preset,8.1041193,value_reference,atom:text=8.1041193
cue,cue:1:23:patch666_main_sequences.xml:24,preset,13.652069,value_reference,atom:text=13.652069
cue,cue:1:23:patch666_main_sequences.xml:24,preset,1.870136,value_reference,atom:text=1.870136
cue,cue:1:23:patch666_main_sequences.xml:24,preset,13.675242,value_reference,atom:text=13.675242
cue,cue:1:23:patch666_main_sequences.xml:24,preset,4.5584116,value_reference,atom:text=4.5584116
cue,cue:1:24:patch666_main_sequences.xml:25,preset,1.8701264,reference_unresolved,preset:1.8701264
cue,cue:1:24:patch666_main_sequences.xml:25,preset,13.675235,reference_unresolved,preset:13.675235
cue,cue:1:24:patch666_main_sequences.xml:25,preset,1.870136,reference_unresolved,preset:1.870136
cue,cue:1:24:patch666_main_sequences.xml:25,preset,13.675242,reference_unresolved,preset:13.675242
cue,cue:1:24:patch666_main_sequences.xml:25,preset,3.7036994,reference_unresolved,preset:3.7036994
cue,cue:1:24:patch666_main_sequences.xml:25,preset,8.810338,reference_unresolved,preset:8.810338
cue,cue:1:24:patch666_main_sequences.xml:25,preset,1.8701264,value_reference,atom:text=1.8701264
cue,cue:1:24:patch666_main_sequences.xml:25,preset,13.675235,value_reference,atom:text=13.675235
cue,cue:1:24:patch666_main_sequences.xml:25,preset,1.870136,value_reference,atom:text=1.870136
cue,cue:1:24:patch666_main_sequences.xml:25,preset,13.675242,value_reference,atom:text=13.675242
cue,cue:1:24:patch666_main_sequences.xml:25,preset,3.7036994,value_reference,atom:text=3.7036994
cue,cue:1:24:patch666_main_sequences.xml:25,preset,8.810338,value_reference,atom:text=8.810338
cue,cue:1:25:patch666_main_sequences.xml:26,preset,1.8701264,reference_unresolved,preset:1.8701264
cue,cue:1:25:patch666_main_sequences.xml:26,preset,13.675235,reference_unresolved,preset:13.675235
cue,cue:1:25:patch666_main_sequences.xml:26,preset,9.4017172,reference_unresolved,preset:9.4017172
cue,cue:1:25:patch666_main_sequences.xml:26,preset,8.1041193,reference_unresolved,preset:8.1041193
cue,cue:1:25:patch666_main_sequences.xml:26,preset,13.652069,reference_unresolved,preset:13.652069
cue,cue:1:25:patch666_main_sequences.xml:26,preset,1.870136,reference_unresolved,preset:1.870136
cue,cue:1:25:patch666_main_sequences.xml:26,preset,13.675242,reference_unresolved,preset:13.675242
cue,cue:1:25:patch666_main_sequences.xml:26,preset,4.5584116,reference_unresolved,preset:4.5584116
cue,cue:1:25:patch666_main_sequences.xml:26,preset,1.8701264,value_reference,atom:text=1.8701264
cue,cue:1:25:patch666_main_sequences.xml:26,preset,13.675235,value_reference,atom:text=13.675235
cue,cue:1:25:patch666_main_sequences.xml:26,preset,9.4017172,value_reference,atom:text=9.4017172
cue,cue:1:25:patch666_main_sequences.xml:26,preset,8.1041193,value_reference,atom:text=8.1041193
cue,cue:1:25:patch666_main_sequences.xml:26,preset,13.652069,value_reference,atom:text=13.652069
cue,cue:1:25:patch666_main_sequences.xml:26,preset,1.870136,value_reference,atom:text=1.870136
cue,cue:1:25:patch666_main_sequences.xml:26,preset,13.675242,value_reference,atom:text=13.675242
cue,cue:1:25:patch666_main_sequences.xml:26,preset,4.5584116,value_reference,atom:text=4.5584116
cue,cue:1:26:patch666_main_sequences.xml:27,preset,1.8701264,reference_unresolved,preset:1.8701264
cue,cue:1:26:patch666_main_sequences.xml:27,preset,13.675235,reference_unresolved,preset:13.675235
cue,cue:1:26:patch666_main_sequences.xml:27,preset,1.870136,reference_unresolved,preset:1.870136
cue,cue:1:26:patch666_main_sequences.xml:27,preset,13.675242,reference_unresolved,preset:13.675242
cue,cue:1:26:patch666_main_sequences.xml:27,preset,1.8701264,value_reference,atom:text=1.8701264
cue,cue:1:26:patch666_main_sequences.xml:27,preset,13.675235,value_reference,atom:text=13.675235
cue,cue:1:26:patch666_main_sequences.xml:27,preset,1.870136,value_reference,atom:text=1.870136
cue,cue:1:26:patch666_main_sequences.xml:27,preset,13.675242,value_reference,atom:text=13.675242
cue,cue:1:27:patch666_main_sequences.xml:28,preset,1.8701264,reference_unresolved,preset:1.8701264
cue,cue:1:27:patch666_main_sequences.xml:28,preset,13.675235,reference_unresolved,preset:13.675235
cue,cue:1:27:patch666_main_sequences.xml:28,preset,9.4017172,reference_unresolved,preset:9.4017172
cue,cue:1:27:patch666_main_sequences.xml:28,preset,8.1041193,reference_unresolved,preset:8.1041193
cue,cue:1:27:patch666_main_sequences.xml:28,preset,13.652069,reference_unresolved,preset:13.652069
cue,cue:1:27:patch666_main_sequences.xml:28,preset,1.870136,reference_unresolved,preset:1.870136
cue,cue:1:27:patch666_main_sequences.xml:28,preset,13.675242,reference_unresolved,preset:13.675242
cue,cue:1:27:patch666_main_sequences.xml:28,preset,4.5584116,reference_unresolved,preset:4.5584116
cue,cue:1:27:patch666_main_sequences.xml:28,preset,1.8701264,value_reference,atom:text=1.8701264
cue,cue:1:27:patch666_main_sequences.xml:28,preset,13.675235,value_reference,atom:text=13.675235
cue,cue:1:27:patch666_main_sequences.xml:28,preset,9.4017172,value_reference,atom:text=9.4017172
cue,cue:1:27:patch666_main_sequences.xml:28,preset,8.1041193,value_reference,atom:text=8.1041193
cue,cue:1:27:patch666_main_sequences.xml:28,preset,13.652069,value_reference,atom:text=13.652069
cue,cue:1:27:patch666_main_sequences.xml:28,preset,1.870136,value_reference,atom:text=1.870136
cue,cue:1:27:patch666_main_sequences.xml:28,preset,13.675242,value_reference,atom:text=13.675242
cue,cue:1:27:patch666_main_sequences.xml:28,preset,4.5584116,value_reference,atom:text=4.5584116
cue,cue:1:28:patch666_main_sequences.xml:29,preset,4.5584116,reference_unresolved,preset:4.5584116
cue,cue:1:28:patch666_main_sequences.xml:29,preset,4.5584116,value_reference,atom:text=4.5584116
cue,cue:1:31:patch666_main_sequences.xml:32,preset,1.8701264,reference_unresolved,preset:1.8701264
cue,cue:1:31:patch666_main_sequences.xml:32,preset,13.675235,reference_unresolved,preset:13.675235
cue,cue:1:31:patch666_main_sequences.xml:32,preset,13.25,reference_unresolved,preset:13.25
cue,cue:1:31:patch666_main_sequences.xml:32,preset,1.870136,reference_unresolved,preset:1.870136
cue,cue:1:31:patch666_main_sequences.xml:32,preset,13.675242,reference_unresolved,preset:13.675242
cue,cue:1:31:patch666_main_sequences.xml:32,preset,1.8701264,value_reference,atom:text=1.8701264
cue,cue:1:31:patch666_main_sequences.xml:32,preset,13.675235,value_reference,atom:text=13.675235
cue,cue:1:31:patch666_main_sequences.xml:32,preset,13.25,value_reference,atom:text=13.25
cue,cue:1:31:patch666_main_sequences.xml:32,preset,1.870136,value_reference,atom:text=1.870136
cue,cue:1:31:patch666_main_sequences.xml:32,preset,13.675242,value_reference,atom:text=13.675242
cue,cue:1:34:patch666_main_sequences.xml:35,preset,6.7520585,reference_unresolved,preset:6.7520585
cue,cue:1:34:patch666_main_sequences.xml:35,preset,1.2345769,reference_unresolved,preset:1.2345769
cue,cue:1:34:patch666_main_sequences.xml:35,preset,11.111118,reference_unresolved,preset:11.111118
cue,cue:1:34:patch666_main_sequences.xml:35,preset,6.7520585,value_reference,atom:text=6.7520585
cue,cue:1:34:patch666_main_sequences.xml:35,preset,1.2345769,value_reference,atom:text=1.2345769
cue,cue:1:34:patch666_main_sequences.xml:35,preset,11.111118,value_reference,atom:text=11.111118
cue,cue:1:35:patch666_main_sequences.xml:36,preset,6.7520585,reference_unresolved,preset:6.7520585
cue,cue:1:35:patch666_main_sequences.xml:36,preset,1.2345769,reference_unresolved,preset:1.2345769
cue,cue:1:35:patch666_main_sequences.xml:36,preset,11.111118,reference_unresolved,preset:11.111118
cue,cue:1:35:patch666_main_sequences.xml:36,preset,6.7520585,value_reference,atom:text=6.7520585
cue,cue:1:35:patch666_main_sequences.xml:36,preset,1.2345769,value_reference,atom:text=1.2345769
cue,cue:1:35:patch666_main_sequences.xml:36,preset,11.111118,value_reference,atom:text=11.111118
cue,cue:1:36:patch666_main_sequences.xml:37,preset,12.833334,reference_unresolved,preset:12.833334
cue,cue:1:36:patch666_main_sequences.xml:37,preset,12.833334,value_reference,atom:text=12.833334
cue,cue:1:38:patch666_main_sequences.xml:39,preset,9.4017172,reference_unresolved,preset:9.4017172
cue,cue:1:38:patch666_main_sequences.xml:39,preset,1.8701264,reference_unresolved,preset:1.8701264
cue,cue:1:38:patch666_main_sequences.xml:39,preset,13.675235,reference_unresolved,preset:13.675235
cue,cue:1:38:patch666_main_sequences.xml:39,preset,10.804113,reference_unresolved,preset:10.804113
cue,cue:1:38:patch666_main_sequences.xml:39,preset,6.5,reference_unresolved,preset:6.5
cue,cue:1:38:patch666_main_sequences.xml:39,preset,4.0981932,reference_unresolved,preset:4.0981932
cue,cue:1:38:patch666_main_sequences.xml:39,preset,1.870136,reference_unresolved,preset:1.870136
cue,cue:1:38:patch666_main_sequences.xml:39,preset,13.675242,reference_unresolved,preset:13.675242
cue,cue:1:38:patch666_main_sequences.xml:39,preset,9.4017172,value_reference,atom:text=9.4017172
cue,cue:1:38:patch666_main_sequences.xml:39,preset,1.8701264,value_reference,atom:text=1.8701264
cue,cue:1:38:patch666_main_sequences.xml:39,preset,13.675235,value_reference,atom:text=13.675235
cue,cue:1:38:patch666_main_sequences.xml:39,preset,10.804113,value_reference,atom:text=10.804113
cue,cue:1:38:patch666_main_sequences.xml:39,preset,6.5,value_reference,atom:text=6.5
cue,cue:1:38:patch666_main_sequences.xml:39,preset,4.0981932,value_reference,atom:text=4.0981932
cue,cue:1:38:patch666_main_sequences.xml:39,preset,1.870136,value_reference,atom:text=1.870136
cue,cue:1:38:patch666_main_sequences.xml:39,preset,13.675242,value_reference,atom:text=13.675242
cue,cue:1:41:patch666_main_sequences.xml:42,preset,9.4017172,reference_unresolved,preset:9.4017172
cue,cue:1:41:patch666_main_sequences.xml:42,preset,1.8701264,reference_unresolved,preset:1.8701264
cue,cue:1:41:patch666_main_sequences.xml:42,preset,13.675235,reference_unresolved,preset:13.675235
cue,cue:1:41:patch666_main_sequences.xml:42,preset,4.0981932,reference_unresolved,preset:4.0981932
cue,cue:1:41:patch666_main_sequences.xml:42,preset,6.8376155,reference_unresolved,preset:6.8376155
cue,cue:1:41:patch666_main_sequences.xml:42,preset,1.870136,reference_unresolved,preset:1.870136
cue,cue:1:41:patch666_main_sequences.xml:42,preset,13.675242,reference_unresolved,preset:13.675242
cue,cue:1:41:patch666_main_sequences.xml:42,preset,12.878795,reference_unresolved,preset:12.878795
cue,cue:1:41:patch666_main_sequences.xml:42,preset,9.4017172,value_reference,atom:text=9.4017172
cue,cue:1:41:patch666_main_sequences.xml:42,preset,1.8701264,value_reference,atom:text=1.8701264
cue,cue:1:41:patch666_main_sequences.xml:42,preset,13.675235,value_reference,atom:text=13.675235
cue,cue:1:41:patch666_main_sequences.xml:42,preset,4.0981932,value_reference,atom:text=4.0981932
cue,cue:1:41:patch666_main_sequences.xml:42,preset,6.8376155,value_reference,atom:text=6.8376155
cue,cue:1:41:patch666_main_sequences.xml:42,preset,1.870136,value_reference,atom:text=1.870136
cue,cue:1:41:patch666_main_sequences.xml:42,preset,13.675242,value_reference,atom:text=13.675242
cue,cue:1:41:patch666_main_sequences.xml:42,preset,12.878795,value_reference,atom:text=12.878795
cue,cue:1:42:patch666_main_sequences.xml:43,preset,1.8701264,reference_unresolved,preset:1.8701264
cue,cue:1:42:patch666_main_sequences.xml:43,preset,13.675235,reference_unresolved,preset:13.675235
cue,cue:1:42:patch666_main_sequences.xml:43,preset,8.25,reference_unresolved,preset:8.25
cue,cue:1:42:patch666_main_sequences.xml:43,preset,1.870136,reference_unresolved,preset:1.870136
cue,cue:1:42:patch666_main_sequences.xml:43,preset,13.675242,reference_unresolved,preset:13.675242
cue,cue:1:42:patch666_main_sequences.xml:43,preset,1.8701264,value_reference,atom:text=1.8701264
cue,cue:1:42:patch666_main_sequences.xml:43,preset,13.675235,value_reference,atom:text=13.675235
cue,cue:1:42:patch666_main_sequences.xml:43,preset,8.25,value_reference,atom:text=8.25
cue,cue:1:42:patch666_main_sequences.xml:43,preset,1.870136,value_reference,atom:text=1.870136
cue,cue:1:42:patch666_main_sequences.xml:43,preset,13.675242,value_reference,atom:text=13.675242
cue,cue:1:43:patch666_main_sequences.xml:44,preset,6.25,reference_unresolved,preset:6.25
cue,cue:1:43:patch666_main_sequences.xml:44,preset,6.25,value_reference,atom:text=6.25
cue,cue:1:44:patch666_main_sequences.xml:45,preset,1.8701264,reference_unresolved,preset:1.8701264
cue,cue:1:44:patch666_main_sequences.xml:45,preset,13.675235,reference_unresolved,preset:13.675235
cue,cue:1:44:patch666_main_sequences.xml:45,preset,1.870136,reference_unresolved,preset:1.870136
cue,cue:1:44:patch666_main_sequences.xml:45,preset,13.675242,reference_unresolved,preset:13.675242
cue,cue:1:44:patch666_main_sequences.xml:45,preset,1.8701264,value_reference,atom:text=1.8701264
cue,cue:1:44:patch666_main_sequences.xml:45,preset,13.675235,value_reference,atom:text=13.675235
cue,cue:1:44:patch666_main_sequences.xml:45,preset,1.870136,value_reference,atom:text=1.870136
cue,cue:1:44:patch666_main_sequences.xml:45,preset,13.675242,value_reference,atom:text=13.675242
cue,cue:1:45:patch666_main_sequences.xml:46,preset,1.8701264,reference_unresolved,preset:1.8701264
cue,cue:1:45:patch666_main_sequences.xml:46,preset,13.675235,reference_unresolved,preset:13.675235
cue,cue:1:45:patch666_main_sequences.xml:46,preset,1.870136,reference_unresolved,preset:1.870136
cue,cue:1:45:patch666_main_sequences.xml:46,preset,13.675242,reference_unresolved,preset:13.675242
cue,cue:1:45:patch666_main_sequences.xml:46,preset,1.8701264,value_reference,atom:text=1.8701264
cue,cue:1:45:patch666_main_sequences.xml:46,preset,13.675235,value_reference,atom:text=13.675235
cue,cue:1:45:patch666_main_sequences.xml:46,preset,1.870136,value_reference,atom:text=1.870136
cue,cue:1:45:patch666_main_sequences.xml:46,preset,13.675242,value_reference,atom:text=13.675242
cue,cue:1:46:patch666_main_sequences.xml:47,preset,1.8701264,reference_unresolved,preset:1.8701264
cue,cue:1:46:patch666_main_sequences.xml:47,preset,13.675235,reference_unresolved,preset:13.675235
cue,cue:1:46:patch666_main_sequences.xml:47,preset,1.870136,reference_unresolved,preset:1.870136
cue,cue:1:46:patch666_main_sequences.xml:47,preset,13.675242,reference_unresolved,preset:13.675242
cue,cue:1:46:patch666_main_sequences.xml:47,preset,1.8701264,value_reference,atom:text=1.8701264
cue,cue:1:46:patch666_main_sequences.xml:47,preset,13.675235,value_reference,atom:text=13.675235
cue,cue:1:46:patch666_main_sequences.xml:47,preset,1.870136,value_reference,atom:text=1.870136
cue,cue:1:46:patch666_main_sequences.xml:47,preset,13.675242,value_reference,atom:text=13.675242
cue,cue:1:47:patch666_main_sequences.xml:48,preset,1.8701264,reference_unresolved,preset:1.8701264
cue,cue:1:47:patch666_main_sequences.xml:48,preset,13.675235,reference_unresolved,preset:13.675235
cue,cue:1:47:patch666_main_sequences.xml:48,preset,1.870136,reference_unresolved,preset:1.870136
cue,cue:1:47:patch666_main_sequences.xml:48,preset,13.675242,reference_unresolved,preset:13.675242
cue,cue:1:47:patch666_main_sequences.xml:48,preset,1.8701264,value_reference,atom:text=1.8701264
cue,cue:1:47:patch666_main_sequences.xml:48,preset,13.675235,value_reference,atom:text=13.675235
cue,cue:1:47:patch666_main_sequences.xml:48,preset,1.870136,value_reference,atom:text=1.870136
cue,cue:1:47:patch666_main_sequences.xml:48,preset,13.675242,value_reference,atom:text=13.675242
cue,cue:1:48:patch666_main_sequences.xml:49,preset,1.25,reference_unresolved,preset:1.25
cue,cue:1:48:patch666_main_sequences.xml:49,preset,1.25,value_reference,atom:text=1.25
cue,cue:1:49:patch666_main_sequences.xml:50,preset,6.8376155,reference_unresolved,preset:6.8376155
cue,cue:1:49:patch666_main_sequences.xml:50,preset,2.7041204,reference_unresolved,preset:2.7041204
cue,cue:1:49:patch666_main_sequences.xml:50,preset,6.8376155,value_reference,atom:text=6.8376155
cue,cue:1:49:patch666_main_sequences.xml:50,preset,2.7041204,value_reference,atom:text=2.7041204
cue,cue:1:50:patch666_main_sequences.xml:51,preset,6.8376155,reference_unresolved,preset:6.8376155
cue,cue:1:50:patch666_main_sequences.xml:51,preset,2.7020588,reference_unresolved,preset:2.7020588
cue,cue:1:50:patch666_main_sequences.xml:51,preset,9.25,reference_unresolved,preset:9.25
