fixture_id,channel_id,subfixture_id,patch_target_type,patch_target_id,patch_target_key,name,label,fixture_type,mode,patch,universe,address,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,scale_x,scale_y,scale_z,source_file,metadata
46,,,fixture,46,fixture:46,RLB350M1 6,RLB350M1 6,12 Robin LEDBeam 350 Mode 1,12,13.111,13,111,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""40"", ""name"": ""RLB350M1 6"", ""fixtureid"": ""46"", ""fixturetype.name"": ""12 Robin LEDBeam 350 Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
47,,,fixture,47,fixture:47,RLB350M1 7,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,12,5.001,5,1,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""41"", ""name"": ""RLB350M1 7"", ""fixtureid"": ""47"", ""fixturetype.name"": ""12 Robin LEDBeam 350 Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
48,,,fixture,48,fixture:48,RLB350M1 8,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,12,5.023,5,23,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""42"", ""name"": ""RLB350M1 8"", ""fixtureid"": ""48"", ""fixturetype.name"": ""12 Robin LEDBeam 350 Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
49,,,fixture,49,fixture:49,RLB350M1 9,RLB350M1 9,12 Robin LEDBeam 350 Mode 1,12,5.045,5,45,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""43"", ""name"": ""RLB350M1 9"", ""fixtureid"": ""49"", ""fixturetype.name"": ""12 Robin LEDBeam 350 Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
50,,,fixture,50,fixture:50,RLB350M1 10,RLB350M1 10,12 Robin LEDBeam 350 Mode 1,12,5.067,5,67,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""44"", ""name"": ""RLB350M1 10"", ""fixtureid"": ""50"", ""fixturetype.name"": ""12 Robin LEDBeam 350 Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
51,,,fixture,51,fixture:51,RLB350M1 11,RLB350M1 11,12 Robin LEDBeam 350 Mode 1,12,5.089,5,89,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""45"", ""name"": ""RLB350M1 11"", ""fixtureid"": ""51"", ""fixturetype.name"": ""12 Robin LEDBeam 350 Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
52,,,fixture,52,fixture:52,RLB350M1 12,RLB350M1 12,12 Robin LEDBeam 350 Mode 1,12,5.111,5,111,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""46"", ""name"": ""RLB350M1 12"", ""fixtureid"": ""52"", ""fixturetype.name"": ""12 Robin LEDBeam 350 Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
61,,,fixture,61,fixture:61,HotboxW8 1,HotboxW8 1,14 Hotbox RGBW 8 channel,14,2.217,2,217,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""49"", ""name"": ""HotboxW8 1"", ""fixtureid"": ""61"", ""fixturetype.name"": ""14 Hotbox RGBW 8 channel"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
62,,,fixture,62,fixture:62,HotboxW8 2,HotboxW8 2,14 Hotbox RGBW 8 channel,14,2.225,2,225,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""50"", ""name"": ""HotboxW8 2"", ""fixtureid"": ""62"", ""fixturetype.name"": ""14 Hotbox RGBW 8 channel"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
63,,,fixture,63,fixture:63,HotboxW8 3,HotboxW8 3,14 Hotbox RGBW 8 channel,14,2.233,2,233,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""52"", ""name"": ""HotboxW8 3"", ""fixtureid"": ""63"", ""fixturetype.name"": ""14 Hotbox RGBW 8 channel"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
64,,,fixture,64,fixture:64,HotboxW8 4,HotboxW8 4,14 Hotbox RGBW 8 channel,14,2.241,2,241,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""53"", ""name"": ""HotboxW8 4"", ""fixtureid"": ""64"", ""fixturetype.name"": ""14 Hotbox RGBW 8 channel"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
65,,,fixture,65,fixture:65,HotboxW8 5,HotboxW8 5,14 Hotbox RGBW 8 channel,14,2.249,2,249,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""54"", ""name"": ""HotboxW8 5"", ""fixtureid"": ""65"", ""fixturetype.name"": ""14 Hotbox RGBW 8 channel"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
66,,,fixture,66,fixture:66,HotboxW8 6,HotboxW8 6,14 Hotbox RGBW 8 channel,14,2.257,2,257,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""55"", ""name"": ""HotboxW8 6"", ""fixtureid"": ""66"", ""fixturetype.name"": ""14 Hotbox RGBW 8 channel"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
67,,,fixture,67,fixture:67,HotboxW8 1,HotboxW8 1,14 Hotbox RGBW 8 channel,14,1.401,1,401,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""51"", ""name"": ""HotboxW8 1"", ""fixtureid"": ""67"", ""fixturetype.name"": ""14 Hotbox RGBW 8 channel"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
71,,,fixture,71,fixture:71,HelM1 1,HelM1 1,16 Helios Tube 1: RGB - 1 Pixel - Strobe Off,16,14.001,14,1,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""56"", ""name"": ""HelM1 1"", ""fixtureid"": ""71"", ""fixturetype.name"": ""16 Helios Tube 1: RGB - 1 Pixel - Strobe Off"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
72,,,fixture,72,fixture:72,HelM1 2,HelM1 2,16 Helios Tube 1: RGB - 1 Pixel - Strobe Off,16,14.004,14,4,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""57"", ""name"": ""HelM1 2"", ""fixtureid"": ""72"", ""fixturetype.name"": ""16 Helios Tube 1: RGB - 1 Pixel - Strobe Off"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
73,,,fixture,73,fixture:73,HelM1 3,HelM1 3,16 Helios Tube 1: RGB - 1 Pixel - Strobe Off,16,14.007,14,7,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""58"", ""name"": ""HelM1 3"", ""fixtureid"": ""73"", ""fixturetype.name"": ""16 Helios Tube 1: RGB - 1 Pixel - Strobe Off"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
74,,,fixture,74,fixture:74,HelM1 4,HelM1 4,16 Helios Tube 1: RGB - 1 Pixel - Strobe Off,16,14.010,14,10,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""59"", ""name"": ""HelM1 4"", ""fixtureid"": ""74"", ""fixturetype.name"": ""16 Helios Tube 1: RGB - 1 Pixel - Strobe Off"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
75,,,fixture,75,fixture:75,HelM1 5,HelM1 5,16 Helios Tube 1: RGB - 1 Pixel - Strobe Off,16,14.013,14,13,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""60"", ""name"": ""HelM1 5"", ""fixtureid"": ""75"", ""fixturetype.name"": ""16 Helios Tube 1: RGB - 1 Pixel - Strobe Off"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
76,,,fixture,76,fixture:76,HelM1 6,HelM1 6,16 Helios Tube 1: RGB - 1 Pixel - Strobe Off,16,14.016,14,16,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""61"", ""name"": ""HelM1 6"", ""fixtureid"": ""76"", ""fixturetype.name"": ""16 Helios Tube 1: RGB - 1 Pixel - Strobe Off"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
77,,,fixture,77,fixture:77,HelM1 7,HelM1 7,16 Helios Tube 1: RGB - 1 Pixel - Strobe Off,16,14.019,14,19,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""62"", ""name"": ""HelM1 7"", ""fixtureid"": ""77"", ""fixturetype.name"": ""16 Helios Tube 1: RGB - 1 Pixel - Strobe Off"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
78,,,fixture,78,fixture:78,HelM1 8,HelM1 8,16 Helios Tube 1: RGB - 1 Pixel - Strobe Off,16,14.022,14,22,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""63"", ""name"": ""HelM1 8"", ""fixtureid"": ""78"", ""fixturetype.name"": ""16 Helios Tube 1: RGB - 1 Pixel - Strobe Off"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
111,,,fixture,111,fixture:111,WTF 1,WTF 1,10 Robin WTF Mode 4-Pixel mode,10,3.169,3,169,0,0,0,0,-0,0,1,1,1,exports\Studio54_patch.xml,"{""index"": ""33"", ""name"": ""WTF 1"", ""fixtureid"": ""111"", ""fixturetype.name"": ""10 Robin WTF Mode 4-Pixel mode"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
112,,,fixture,112,fixture:112,WTF 2,WTF 2,10 Robin WTF Mode 4-Pixel mode,10,3.275,3,275,0,0,0,0,-0,0,1,1,1,exports\Studio54_patch.xml,"{""index"": ""34"", ""name"": ""WTF 2"", ""fixtureid"": ""112"", ""fixturetype.name"": ""10 Robin WTF Mode 4-Pixel mode"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
666,,,fixture,666,fixture:666,Robin T1 Profile FS 1,Robin T1 Profile FS 1,13 Robin T1 Profile FS Mode 3 - RGBAL,13,10.001,10,1,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""47"", ""name"": ""Robin T1 Profile FS 1"", ""fixtureid"": ""666"", ""fixturetype.name"": ""13 Robin T1 Profile FS Mode 3 - RGBAL"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
667,,,fixture,667,fixture:667,voko,voko,17 Arcsource 12 RGB 00,17,9.430,9,430,,,,,,,,,,exports\Studio54_patch.xml,"{""index"": ""64"", ""name"": ""voko"", ""fixtureid"": ""667"", ""fixturetype.name"": ""17 Arcsource 12 RGB 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
9,,,fixture,9,fixture:9,HelDGB8S 9,HelDGB8S 9,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.193,1,193,8,0,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""8"", ""name"": ""HelDGB8S 9"", ""fixtureid"": ""9"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
10,,,fixture,10,fixture:10,HelDGB8S 10,HelDGB8S 10,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.217,1,217,9,0,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""9"", ""name"": ""HelDGB8S 10"", ""fixtureid"": ""10"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
19,,,fixture,19,fixture:19,HelDGB8S 19,HelDGB8S 19,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.433,1,433,8,-1,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""18"", ""name"": ""HelDGB8S 19"", ""fixtureid"": ""19"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
20,,,fixture,20,fixture:20,HelDGB8S 20,HelDGB8S 20,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.457,1,457,9,-1,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""19"", ""name"": ""HelDGB8S 20"", ""fixtureid"": ""20"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
29,,,fixture,29,fixture:29,HelDGB8S 29,HelDGB8S 29,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.193,2,193,8,-2,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""28"", ""name"": ""HelDGB8S 29"", ""fixtureid"": ""29"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
30,,,fixture,30,fixture:30,HelDGB8S 30,HelDGB8S 30,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.217,2,217,9,-2,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""29"", ""name"": ""HelDGB8S 30"", ""fixtureid"": ""30"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
39,,,fixture,39,fixture:39,HelDGB8S 39,HelDGB8S 39,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.433,2,433,8,-3,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""38"", ""name"": ""HelDGB8S 39"", ""fixtureid"": ""39"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
40,,,fixture,40,fixture:40,HelDGB8S 40,HelDGB8S 40,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.457,2,457,9,-3,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""39"", ""name"": ""HelDGB8S 40"", ""fixtureid"": ""40"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
101,,,fixture,101,fixture:101,RSpiide3 1,RSpiide3 1,7 Robin Spiider Mode 3,7,4.034,4,34,0,0,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""0"", ""name"": ""RSpiide3 1"", ""fixtureid"": ""101"", ""fixturetype.name"": ""7 Robin Spiider Mode 3"", ""subfixture.index"": [""0"", ""1""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
102,,,fixture,102,fixture:102,RSpiide3 2,RSpiide3 2,7 Robin Spiider Mode 3,7,4.001,4,1,0,0,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""1"", ""name"": ""RSpiide3 2"", ""fixtureid"": ""102"", ""fixturetype.name"": ""7 Robin Spiider Mode 3"", ""subfixture.index"": [""0"", ""1""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
103,,,fixture,103,fixture:103,RSpiide3 3,RSpiide3 3,7 Robin Spiider Mode 3,7,4.067,4,67,0,0,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""2"", ""name"": ""RSpiide3 3"", ""fixtureid"": ""103"", ""fixturetype.name"": ""7 Robin Spiider Mode 3"", ""subfixture.index"": [""0"", ""1""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
104,,,fixture,104,fixture:104,RSpiide3 4,RSpiide3 4,7 Robin Spiider Mode 3,7,4.100,4,100,0,0,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""3"", ""name"": ""RSpiide3 4"", ""fixtureid"": ""104"", ""fixturetype.name"": ""7 Robin Spiider Mode 3"", ""subfixture.index"": [""0"", ""1""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
105,,,fixture,105,fixture:105,RSpiide3 5,RSpiide3 5,7 Robin Spiider Mode 3,7,4.133,4,133,0,0,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""4"", ""name"": ""RSpiide3 5"", ""fixtureid"": ""105"", ""fixturetype.name"": ""7 Robin Spiider Mode 3"", ""subfixture.index"": [""0"", ""1""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
106,,,fixture,106,fixture:106,RSpiide3 6,RSpiide3 6,7 Robin Spiider Mode 3,7,4.166,4,166,0,0,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""5"", ""name"": ""RSpiide3 6"", ""fixtureid"": ""106"", ""fixturetype.name"": ""7 Robin Spiider Mode 3"", ""subfixture.index"": [""0"", ""1""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
107,,,fixture,107,fixture:107,RSpiide3 7,RSpiide3 7,7 Robin Spiider Mode 3,7,4.271,4,271,0,0,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""6"", ""name"": ""RSpiide3 7"", ""fixtureid"": ""107"", ""fixturetype.name"": ""7 Robin Spiider Mode 3"", ""subfixture.index"": [""0"", ""1""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
108,,,fixture,108,fixture:108,RSpiide3 8,RSpiide3 8,7 Robin Spiider Mode 3,7,4.304,4,304,0,0,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""7"", ""name"": ""RSpiide3 8"", ""fixtureid"": ""108"", ""fixturetype.name"": ""7 Robin Spiider Mode 3"", ""subfixture.index"": [""0"", ""1""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
201,,,fixture,201,fixture:201,SPIDER 33 1,SPIDER 33 1,7 Robin Spiider Mode 3,7,4.403,4,403,0,0,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""8"", ""name"": ""SPIDER 33 1"", ""fixtureid"": ""201"", ""fixturetype.name"": ""7 Robin Spiider Mode 3"", ""subfixture.index"": [""0"", ""1""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
202,,,fixture,202,fixture:202,SPIDER 33 2,SPIDER 33 2,7 Robin Spiider Mode 3,7,4.436,4,436,0,0,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""9"", ""name"": ""SPIDER 33 2"", ""fixtureid"": ""202"", ""fixturetype.name"": ""7 Robin Spiider Mode 3"", ""subfixture.index"": [""0"", ""1""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
