id,preset_type,number,name,fixture_ids,channel_ids,patch_target_keys,fixture_details,references,source_file
preset:0.21:Studio_54_preset_0.xml:1,0,0.21,350 nad lidi,41 42 43 44 45 46 47 48 49 50 51 52,,fixture:41 | fixture:42 | fixture:43 | fixture:44 | fixture:45 | fixture:46 | fixture:47 | fixture:48 | fixture:49 | fixture:50 | fixture:51 | fixture:52,41 | RLB350M1 1 | 12 Robin LEDBeam 350 Mode 1 | 13.001 || 42 | RLB350M1 2 | 12 Robin LEDBeam 350 Mode 1 | 13.023 || 43 | RLB350M1 3 | 12 Robin LEDBeam 350 Mode 1 | 13.045 || 44 | RLB350M1 4 | 12 Robin LEDBeam 350 Mode 1 | 13.067 || 45 | RLB350M1 5 | 12 Robin LEDBeam 350 Mode 1 | 13.089 || 46 | RLB350M1 6 | 12 Robin LEDBeam 350 Mode 1 | 13.111 || 47 | RLB350M1 7 | 12 Robin LEDBeam 350 Mode 1 | 5.001 || 48 | RLB350M1 8 | 12 Robin LEDBeam 350 Mode 1 | 5.023 || 49 | RLB350M1 9 | 12 Robin LEDBeam 350 Mode 1 | 5.045 || 50 | RLB350M1 10 | 12 Robin LEDBeam 350 Mode 1 | 5.067 || 51 | RLB350M1 11 | 12 Robin LEDBeam 350 Mode 1 | 5.089 || 52 | RLB350M1 12 | 12 Robin LEDBeam 350 Mode 1 | 5.111,,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_preset_0.xml
preset:0.22:Studio_54_preset_0.xml:2,0,0.22,350 doprava,41 42 43 44 45 46 47 48 49 50 51 52,,fixture:41 | fixture:42 | fixture:43 | fixture:44 | fixture:45 | fixture:46 | fixture:47 | fixture:48 | fixture:49 | fixture:50 | fixture:51 | fixture:52,41 | RLB350M1 1 | 12 Robin LEDBeam 350 Mode 1 | 13.001 || 42 | RLB350M1 2 | 12 Robin LEDBeam 350 Mode 1 | 13.023 || 43 | RLB350M1 3 | 12 Robin LEDBeam 350 Mode 1 | 13.045 || 44 | RLB350M1 4 | 12 Robin LEDBeam 350 Mode 1 | 13.067 || 45 | RLB350M1 5 | 12 Robin LEDBeam 350 Mode 1 | 13.089 || 46 | RLB350M1 6 | 12 Robin LEDBeam 350 Mode 1 | 13.111 || 47 | RLB350M1 7 | 12 Robin LEDBeam 350 Mode 1 | 5.001 || 48 | RLB350M1 8 | 12 Robin LEDBeam 350 Mode 1 | 5.023 || 49 | RLB350M1 9 | 12 Robin LEDBeam 350 Mode 1 | 5.045 || 50 | RLB350M1 10 | 12 Robin LEDBeam 350 Mode 1 | 5.067 || 51 | RLB350M1 11 | 12 Robin LEDBeam 350 Mode 1 | 5.089 || 52 | RLB350M1 12 | 12 Robin LEDBeam 350 Mode 1 | 5.111,,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_preset_0.xml
preset:0.23:Studio_54_preset_0.xml:3,0,0.23,350 doleva,41 42 43 44 45 46 47 48 49 50 51 52,,fixture:41 | fixture:42 | fixture:43 | fixture:44 | fixture:45 | fixture:46 | fixture:47 | fixture:48 | fixture:49 | fixture:50 | fixture:51 | fixture:52,41 | RLB350M1 1 | 12 Robin LEDBeam 350 Mode 1 | 13.001 || 42 | RLB350M1 2 | 12 Robin LEDBeam 350 Mode 1 | 13.023 || 43 | RLB350M1 3 | 12 Robin LEDBeam 350 Mode 1 | 13.045 || 44 | RLB350M1 4 | 12 Robin LEDBeam 350 Mode 1 | 13.067 || 45 | RLB350M1 5 | 12 Robin LEDBeam 350 Mode 1 | 13.089 || 46 | RLB350M1 6 | 12 Robin LEDBeam 350 Mode 1 | 13.111 || 47 | RLB350M1 7 | 12 Robin LEDBeam 350 Mode 1 | 5.001 || 48 | RLB350M1 8 | 12 Robin LEDBeam 350 Mode 1 | 5.023 || 49 | RLB350M1 9 | 12 Robin LEDBeam 350 Mode 1 | 5.045 || 50 | RLB350M1 10 | 12 Robin LEDBeam 350 Mode 1 | 5.067 || 51 | RLB350M1 11 | 12 Robin LEDBeam 350 Mode 1 | 5.089 || 52 | RLB350M1 12 | 12 Robin LEDBeam 350 Mode 1 | 5.111,,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_preset_0.xml
preset:0.25:Studio_54_preset_0.xml:4,0,0.25,beam,11 12 13 14 15 16 17 18,,fixture:11 | fixture:12 | fixture:13 | fixture:14 | fixture:15 | fixture:16 | fixture:17 | fixture:18,11 | Esprite 1 | 11 Robin Esprite Mode 2 | 2.133 || 12 | Esprite 2 | 11 Robin Esprite Mode 2 | 2.175 || 13 | Esprite 3 | 11 Robin Esprite Mode 2 | 3.001 || 14 | Esprite 4 | 11 Robin Esprite Mode 2 | 3.043 || 15 | Esprite 5 | 11 Robin Esprite Mode 2 | 3.085 || 16 | Esprite 6 | 11 Robin Esprite Mode 2 | 3.127 || 17 | Esprite 7 | 11 Robin Esprite Mode 2 | 4.133 || 18 | Esprite 8 | 11 Robin Esprite Mode 2 | 4.175,,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_preset_0.xml
preset:0.26:Studio_54_preset_0.xml:5,0,0.26,strobo hor,111 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 28 29 30 31 32 112,,fixture:111 | subfixture:111:3 | subfixture:111:4 | subfixture:111:5 | subfixture:111:6 | subfixture:111:7 | subfixture:111:8 | subfixture:111:9 | subfixture:111:10 | subfixture:111:11 | subfixture:111:12 | subfixture:111:13 | subfixture:111:14 | subfixture:111:15 | subfixture:111:16 | subfixture:111:17 | subfixture:111:18 | subfixture:111:20 | subfixture:111:21 | subfixture:111:22 | subfixture:111:23 | subfixture:111:24 | subfixture:111:25 | subfixture:111:26 | subfixture:111:27 | subfixture:111:28 | subfixture:111:29 | subfixture:111:30 | subfixture:111:31 | subfixture:111:32 | fixture:112 | subfixture:112:3 | subfixture:112:4 | subfixture:112:5 | subfixture:112:6 | subfixture:112:7 | subfixture:112:8 | subfixture:112:9 | subfixture:112:10 | subfixture:112:11 | subfixture:112:12 | subfixture:112:13 | subfixture:112:14 | subfixture:112:15 | subfixture:112:16 | subfixture:112:17 | subfixture:112:18 | subfixture:112:20 | subfixture:112:21 | subfixture:112:22 | subfixture:112:23 | subfixture:112:24 | subfixture:112:25 | subfixture:112:26 | subfixture:112:27 | subfixture:112:28 | subfixture:112:29 | subfixture:112:30 | subfixture:112:31 | subfixture:112:32,111 | Fixture 111 || 3 | Spiider 3 | 3 Robin Spiider Mode 3 | 2.067 || 4 | Spiider 4 | 3 Robin Spiider Mode 3 | 2.100 || 5 | Spiider 5 | 3 Robin Spiider Mode 3 | 4.001 || 6 | Spiider 6 | 3 Robin Spiider Mode 3 | 4.034 || 7 | Spiider 7 | 3 Robin Spiider Mode 3 | 4.067 || 8 | Spiider 8 | 3 Robin Spiider Mode 3 | 4.100 || 9 || 10 || 11 | Esprite 1 | 11 Robin Esprite Mode 2 | 2.133 || 12 | Esprite 2 | 11 Robin Esprite Mode 2 | 2.175 || 13 | Esprite 3 | 11 Robin Esprite Mode 2 | 3.001 || 14 | Esprite 4 | 11 Robin Esprite Mode 2 | 3.043 || 15 | Esprite 5 | 11 Robin Esprite Mode 2 | 3.085 || 16 | Esprite 6 | 11 Robin Esprite Mode 2 | 3.127 || 17 | Esprite 7 | 11 Robin Esprite Mode 2 | 4.133 || 18 | Esprite 8 | 11 Robin Esprite Mode 2 | 4.175 || 20 || 21 | Fixture 21 || 22 | Fixture 22 || 23 | Fixture 23 || 24 | Fixture 24 || 25 | Fixture 25 || 26 | Fixture 26 || 27 | Fixture 27 || 28 | Fixture 28 || 29 || 30 || 31 | Robin SVB1 1 | 7 Robin SVB1 Mode 3 - Pixel || 32 | Robin SVB1 2 | 7 Robin SVB1 Mode 3 - Pixel || 112 | Fixture 112,,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_preset_0.xml
preset:0.27:Studio_54_preset_0.xml:6,0,0.27,strobo,111 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 112,,fixture:111 | subfixture:111:2 | subfixture:111:3 | subfixture:111:4 | subfixture:111:5 | subfixture:111:6 | subfixture:111:7 | subfixture:111:8 | subfixture:111:9 | subfixture:111:10 | subfixture:111:11 | subfixture:111:12 | subfixture:111:13 | subfixture:111:14 | subfixture:111:15 | subfixture:111:16 | subfixture:111:17 | subfixture:111:18 | subfixture:111:19 | subfixture:111:20 | subfixture:111:21 | subfixture:111:22 | subfixture:111:23 | subfixture:111:24 | subfixture:111:25 | subfixture:111:26 | subfixture:111:27 | subfixture:111:28 | subfixture:111:29 | subfixture:111:30 | subfixture:111:31 | subfixture:111:32 | fixture:112 | subfixture:112:2 | subfixture:112:3 | subfixture:112:4 | subfixture:112:5 | subfixture:112:6 | subfixture:112:7 | subfixture:112:8 | subfixture:112:9 | subfixture:112:10 | subfixture:112:11 | subfixture:112:12 | subfixture:112:13 | subfixture:112:14 | subfixture:112:15 | subfixture:112:16 | subfixture:112:17 | subfixture:112:18 | subfixture:112:19 | subfixture:112:20 | subfixture:112:21 | subfixture:112:22 | subfixture:112:23 | subfixture:112:24 | subfixture:112:25 | subfixture:112:26 | subfixture:112:27 | subfixture:112:28 | subfixture:112:29 | subfixture:112:30 | subfixture:112:31 | subfixture:112:32,111 | Fixture 111 || 2 | Spiider 2 | 3 Robin Spiider Mode 3 | 2.034 || 3 | Spiider 3 | 3 Robin Spiider Mode 3 | 2.067 || 4 | Spiider 4 | 3 Robin Spiider Mode 3 | 2.100 || 5 | Spiider 5 | 3 Robin Spiider Mode 3 | 4.001 || 6 | Spiider 6 | 3 Robin Spiider Mode 3 | 4.034 || 7 | Spiider 7 | 3 Robin Spiider Mode 3 | 4.067 || 8 | Spiider 8 | 3 Robin Spiider Mode 3 | 4.100 || 9 || 10 || 11 | Esprite 1 | 11 Robin Esprite Mode 2 | 2.133 || 12 | Esprite 2 | 11 Robin Esprite Mode 2 | 2.175 || 13 | Esprite 3 | 11 Robin Esprite Mode 2 | 3.001 || 14 | Esprite 4 | 11 Robin Esprite Mode 2 | 3.043 || 15 | Esprite 5 | 11 Robin Esprite Mode 2 | 3.085 || 16 | Esprite 6 | 11 Robin Esprite Mode 2 | 3.127 || 17 | Esprite 7 | 11 Robin Esprite Mode 2 | 4.133 || 18 | Esprite 8 | 11 Robin Esprite Mode 2 | 4.175 || 19 || 20 || 21 | Fixture 21 || 22 | Fixture 22 || 23 | Fixture 23 || 24 | Fixture 24 || 25 | Fixture 25 || 26 | Fixture 26 || 27 | Fixture 27 || 28 | Fixture 28 || 29 || 30 || 31 | Robin SVB1 1 | 7 Robin SVB1 Mode 3 - Pixel || 32 | Robin SVB1 2 | 7 Robin SVB1 Mode 3 - Pixel || 112 | Fixture 112,,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_preset_0.xml
preset:0.28:Studio_54_preset_0.xml:7,0,0.28,strobo,111 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 112,,fixture:111 | subfixture:111:2 | subfixture:111:3 | subfixture:111:4 | subfixture:111:5 | subfixture:111:6 | subfixture:111:7 | subfixture:111:8 | subfixture:111:9 | subfixture:111:10 | subfixture:111:11 | subfixture:111:12 | subfixture:111:13 | subfixture:111:14 | subfixture:111:15 | subfixture:111:16 | subfixture:111:17 | subfixture:111:18 | subfixture:111:19 | subfixture:111:20 | subfixture:111:21 | subfixture:111:22 | subfixture:111:23 | subfixture:111:24 | subfixture:111:25 | subfixture:111:26 | subfixture:111:27 | subfixture:111:28 | subfixture:111:29 | subfixture:111:30 | subfixture:111:31 | subfixture:111:32 | fixture:112 | subfixture:112:2 | subfixture:112:3 | subfixture:112:4 | subfixture:112:5 | subfixture:112:6 | subfixture:112:7 | subfixture:112:8 | subfixture:112:9 | subfixture:112:10 | subfixture:112:11 | subfixture:112:12 | subfixture:112:13 | subfixture:112:14 | subfixture:112:15 | subfixture:112:16 | subfixture:112:17 | subfixture:112:18 | subfixture:112:19 | subfixture:112:20 | subfixture:112:21 | subfixture:112:22 | subfixture:112:23 | subfixture:112:24 | subfixture:112:25 | subfixture:112:26 | subfixture:112:27 | subfixture:112:28 | subfixture:112:29 | subfixture:112:30 | subfixture:112:31 | subfixture:112:32,111 | Fixture 111 || 2 | Spiider 2 | 3 Robin Spiider Mode 3 | 2.034 || 3 | Spiider 3 | 3 Robin Spiider Mode 3 | 2.067 || 4 | Spiider 4 | 3 Robin Spiider Mode 3 | 2.100 || 5 | Spiider 5 | 3 Robin Spiider Mode 3 | 4.001 || 6 | Spiider 6 | 3 Robin Spiider Mode 3 | 4.034 || 7 | Spiider 7 | 3 Robin Spiider Mode 3 | 4.067 || 8 | Spiider 8 | 3 Robin Spiider Mode 3 | 4.100 || 9 || 10 || 11 | Esprite 1 | 11 Robin Esprite Mode 2 | 2.133 || 12 | Esprite 2 | 11 Robin Esprite Mode 2 | 2.175 || 13 | Esprite 3 | 11 Robin Esprite Mode 2 | 3.001 || 14 | Esprite 4 | 11 Robin Esprite Mode 2 | 3.043 || 15 | Esprite 5 | 11 Robin Esprite Mode 2 | 3.085 || 16 | Esprite 6 | 11 Robin Esprite Mode 2 | 3.127 || 17 | Esprite 7 | 11 Robin Esprite Mode 2 | 4.133 || 18 | Esprite 8 | 11 Robin Esprite Mode 2 | 4.175 || 19 || 20 || 21 | Fixture 21 || 22 | Fixture 22 || 23 | Fixture 23 || 24 | Fixture 24 || 25 | Fixture 25 || 26 | Fixture 26 || 27 | Fixture 27 || 28 | Fixture 28 || 29 || 30 || 31 | Robin SVB1 1 | 7 Robin SVB1 Mode 3 - Pixel || 32 | Robin SVB1 2 | 7 Robin SVB1 Mode 3 - Pixel || 112 | Fixture 112,,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_preset_0.xml
preset:0.29:Studio_54_preset_0.xml:8,0,0.29,Preset 0.29,112 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,,fixture:112 | subfixture:112:3 | subfixture:112:4 | subfixture:112:5 | subfixture:112:6 | subfixture:112:7 | subfixture:112:8 | subfixture:112:9 | subfixture:112:10 | subfixture:112:11 | subfixture:112:12 | subfixture:112:13 | subfixture:112:14 | subfixture:112:15 | subfixture:112:16 | subfixture:112:17 | subfixture:112:18,112 | Fixture 112 || 3 | Spiider 3 | 3 Robin Spiider Mode 3 | 2.067 || 4 | Spiider 4 | 3 Robin Spiider Mode 3 | 2.100 || 5 | Spiider 5 | 3 Robin Spiider Mode 3 | 4.001 || 6 | Spiider 6 | 3 Robin Spiider Mode 3 | 4.034 || 7 | Spiider 7 | 3 Robin Spiider Mode 3 | 4.067 || 8 | Spiider 8 | 3 Robin Spiider Mode 3 | 4.100 || 9 || 10 || 11 | Esprite 1 | 11 Robin Esprite Mode 2 | 2.133 || 12 | Esprite 2 | 11 Robin Esprite Mode 2 | 2.175 || 13 | Esprite 3 | 11 Robin Esprite Mode 2 | 3.001 || 14 | Esprite 4 | 11 Robin Esprite Mode 2 | 3.043 || 15 | Esprite 5 | 11 Robin Esprite Mode 2 | 3.085 || 16 | Esprite 6 | 11 Robin Esprite Mode 2 | 3.127 || 17 | Esprite 7 | 11 Robin Esprite Mode 2 | 4.133 || 18 | Esprite 8 | 11 Robin Esprite Mode 2 | 4.175,,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_preset_0.xml
preset:0.30:Studio_54_preset_0.xml:9,0,0.30,gula,41 42 43 44 45 46 47 48 49 50 51 52,,fixture:41 | fixture:42 | fixture:43 | fixture:44 | fixture:45 | fixture:46 | fixture:47 | fixture:48 | fixture:49 | fixture:50 | fixture:51 | fixture:52,41 | RLB350M1 1 | 12 Robin LEDBeam 350 Mode 1 | 13.001 || 42 | RLB350M1 2 | 12 Robin LEDBeam 350 Mode 1 | 13.023 || 43 | RLB350M1 3 | 12 Robin LEDBeam 350 Mode 1 | 13.045 || 44 | RLB350M1 4 | 12 Robin LEDBeam 350 Mode 1 | 13.067 || 45 | RLB350M1 5 | 12 Robin LEDBeam 350 Mode 1 | 13.089 || 46 | RLB350M1 6 | 12 Robin LEDBeam 350 Mode 1 | 13.111 || 47 | RLB350M1 7 | 12 Robin LEDBeam 350 Mode 1 | 5.001 || 48 | RLB350M1 8 | 12 Robin LEDBeam 350 Mode 1 | 5.023 || 49 | RLB350M1 9 | 12 Robin LEDBeam 350 Mode 1 | 5.045 || 50 | RLB350M1 10 | 12 Robin LEDBeam 350 Mode 1 | 5.067 || 51 | RLB350M1 11 | 12 Robin LEDBeam 350 Mode 1 | 5.089 || 52 | RLB350M1 12 | 12 Robin LEDBeam 350 Mode 1 | 5.111,,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_preset_0.xml
preset:0.31:Studio_54_preset_0.xml:10,0,0.31,vostra gula,11 12 17 18,,fixture:11 | fixture:12 | fixture:17 | fixture:18,11 | Esprite 1 | 11 Robin Esprite Mode 2 | 2.133 || 12 | Esprite 2 | 11 Robin Esprite Mode 2 | 2.175 || 17 | Esprite 7 | 11 Robin Esprite Mode 2 | 4.133 || 18 | Esprite 8 | 11 Robin Esprite Mode 2 | 4.175,,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_preset_0.xml
preset:0.32:Studio_54_preset_0.xml:11,0,0.32,Spiddery gula,1 2 3 4 5 6 7 8,,fixture:1 | fixture:2 | fixture:3 | fixture:4 | fixture:5 | fixture:6 | fixture:7 | fixture:8,1 | Spiider 1 | 3 Robin Spiider Mode 3 | 2.001 || 2 | Spiider 2 | 3 Robin Spiider Mode 3 | 2.034 || 3 | Spiider 3 | 3 Robin Spiider Mode 3 | 2.067 || 4 | Spiider 4 | 3 Robin Spiider Mode 3 | 2.100 || 5 | Spiider 5 | 3 Robin Spiider Mode 3 | 4.001 || 6 | Spiider 6 | 3 Robin Spiider Mode 3 | 4.034 || 7 | Spiider 7 | 3 Robin Spiider Mode 3 | 4.067 || 8 | Spiider 8 | 3 Robin Spiider Mode 3 | 4.100,,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_preset_0.xml
preset:0.33:Studio_54_preset_0.xml:12,0,0.33,vorez,14 15,,fixture:14 | fixture:15,14 | Esprite 4 | 11 Robin Esprite Mode 2 | 3.043 || 15 | Esprite 5 | 11 Robin Esprite Mode 2 | 3.085,,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_preset_0.xml
preset:0.34:Studio_54_preset_0.xml:13,0,0.34,350 plocha,41 42 43 44 45 46 47 48 49 50 51 52,,fixture:41 | fixture:42 | fixture:43 | fixture:44 | fixture:45 | fixture:46 | fixture:47 | fixture:48 | fixture:49 | fixture:50 | fixture:51 | fixture:52,41 | RLB350M1 1 | 12 Robin LEDBeam 350 Mode 1 | 13.001 || 42 | RLB350M1 2 | 12 Robin LEDBeam 350 Mode 1 | 13.023 || 43 | RLB350M1 3 | 12 Robin LEDBeam 350 Mode 1 | 13.045 || 44 | RLB350M1 4 | 12 Robin LEDBeam 350 Mode 1 | 13.067 || 45 | RLB350M1 5 | 12 Robin LEDBeam 350 Mode 1 | 13.089 || 46 | RLB350M1 6 | 12 Robin LEDBeam 350 Mode 1 | 13.111 || 47 | RLB350M1 7 | 12 Robin LEDBeam 350 Mode 1 | 5.001 || 48 | RLB350M1 8 | 12 Robin LEDBeam 350 Mode 1 | 5.023 || 49 | RLB350M1 9 | 12 Robin LEDBeam 350 Mode 1 | 5.045 || 50 | RLB350M1 10 | 12 Robin LEDBeam 350 Mode 1 | 5.067 || 51 | RLB350M1 11 | 12 Robin LEDBeam 350 Mode 1 | 5.089 || 52 | RLB350M1 12 | 12 Robin LEDBeam 350 Mode 1 | 5.111,,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_preset_0.xml
preset:0.35:Studio_54_preset_0.xml:14,0,0.35,spii stred,1 2 3 4 5 6 7 8,,fixture:1 | fixture:2 | fixture:3 | fixture:4 | fixture:5 | fixture:6 | fixture:7 | fixture:8,1 | Spiider 1 | 3 Robin Spiider Mode 3 | 2.001 || 2 | Spiider 2 | 3 Robin Spiider Mode 3 | 2.034 || 3 | Spiider 3 | 3 Robin Spiider Mode 3 | 2.067 || 4 | Spiider 4 | 3 Robin Spiider Mode 3 | 2.100 || 5 | Spiider 5 | 3 Robin Spiider Mode 3 | 4.001 || 6 | Spiider 6 | 3 Robin Spiider Mode 3 | 4.034 || 7 | Spiider 7 | 3 Robin Spiider Mode 3 | 4.067 || 8 | Spiider 8 | 3 Robin Spiider Mode 3 | 4.100,,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_preset_0.xml
preset:0.36:Studio_54_preset_0.xml:15,0,0.36,ondra klavir,11,,fixture:11,11 | Esprite 1 | 11 Robin Esprite Mode 2 | 2.133,,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_preset_0.xml
preset:0.37:Studio_54_preset_0.xml:16,0,0.37,byk,1 2 5 6,,fixture:1 | fixture:2 | fixture:5 | fixture:6,1 | Spiider 1 | 3 Robin Spiider Mode 3 | 2.001 || 2 | Spiider 2 | 3 Robin Spiider Mode 3 | 2.034 || 5 | Spiider 5 | 3 Robin Spiider Mode 3 | 4.001 || 6 | Spiider 6 | 3 Robin Spiider Mode 3 | 4.034,,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_preset_0.xml
preset:0.38:Studio_54_preset_0.xml:17,0,0.38,animacnigobo,11 12 13 14 15 16 17 18,,fixture:11 | fixture:12 | fixture:13 | fixture:14 | fixture:15 | fixture:16 | fixture:17 | fixture:18,11 | Esprite 1 | 11 Robin Esprite Mode 2 | 2.133 || 12 | Esprite 2 | 11 Robin Esprite Mode 2 | 2.175 || 13 | Esprite 3 | 11 Robin Esprite Mode 2 | 3.001 || 14 | Esprite 4 | 11 Robin Esprite Mode 2 | 3.043 || 15 | Esprite 5 | 11 Robin Esprite Mode 2 | 3.085 || 16 | Esprite 6 | 11 Robin Esprite Mode 2 | 3.127 || 17 | Esprite 7 | 11 Robin Esprite Mode 2 | 4.133 || 18 | Esprite 8 | 11 Robin Esprite Mode 2 | 4.175,,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_preset_0.xml
preset:0.39:Studio_54_preset_0.xml:18,0,0.39,gobo,11 12 13 14 15 16 17 18,,fixture:11 | fixture:12 | fixture:13 | fixture:14 | fixture:15 | fixture:16 | fixture:17 | fixture:18,11 | Esprite 1 | 11 Robin Esprite Mode 2 | 2.133 || 12 | Esprite 2 | 11 Robin Esprite Mode 2 | 2.175 || 13 | Esprite 3 | 11 Robin Esprite Mode 2 | 3.001 || 14 | Esprite 4 | 11 Robin Esprite Mode 2 | 3.043 || 15 | Esprite 5 | 11 Robin Esprite Mode 2 | 3.085 || 16 | Esprite 6 | 11 Robin Esprite Mode 2 | 3.127 || 17 | Esprite 7 | 11 Robin Esprite Mode 2 | 4.133 || 18 | Esprite 8 | 11 Robin Esprite Mode 2 | 4.175,,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-094732-024f66b9\uploads\Studio_54_preset_0.xml
