sequence_id,sequence_number,sequence_name,cue_range,cue_count,average_score,worst_cue_score,high_count,average_hard_values,average_mixed_fixtures,average_similarity,summary
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,81 - 85,5,44.2,69,3,34.0,1.2,0.057,"high cues=3, avg hard=34.0, avg similarity=0.06"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,5 - 9,5,40.2,73,2,14.4,2.6,0.08,"high cues=2, avg hard=14.4, avg similarity=0.08"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,94 - 98,5,39.0,83,2,24.8,1.6,0.025,"high cues=2, avg hard=24.8, avg similarity=0.02"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,95 - 99,5,39.0,83,2,24.8,1.6,0.056,"high cues=2, avg hard=24.8, avg similarity=0.06"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,6 - 9.5,5,38.2,73,2,14.2,2.6,0.075,"high cues=2, avg hard=14.2, avg similarity=0.07"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,76 - 80,5,37.0,58,2,39.0,0.0,0.187,"high cues=2, avg hard=39.0, avg similarity=0.19"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,109 - 114,5,36.8,54,1,541.2,10.8,0.307,"high cues=1, avg hard=541.2, avg similarity=0.31"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,85 - 89,5,35.8,91,2,30.2,1.8,0.134,"high cues=2, avg hard=30.2, avg similarity=0.13"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,80.6 - 84,5,35.8,69,2,19.4,1.2,0.068,"high cues=2, avg hard=19.4, avg similarity=0.07"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,96 - 100,5,35.2,83,2,23.4,1.6,0.115,"high cues=2, avg hard=23.4, avg similarity=0.11"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,97 - 101,5,35.2,83,2,23.4,1.6,0.145,"high cues=2, avg hard=23.4, avg similarity=0.14"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,75 - 79,5,34.8,57,2,32.8,0.0,0.143,"high cues=2, avg hard=32.8, avg similarity=0.14"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,82 - 86,5,34.2,69,2,21.2,1.2,0.053,"high cues=2, avg hard=21.2, avg similarity=0.05"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,80 - 81,5,33.6,65,2,25.8,0.0,0.108,"high cues=2, avg hard=25.8, avg similarity=0.11"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,83 - 87,5,32.8,69,2,21.2,1.2,0.097,"high cues=2, avg hard=21.2, avg similarity=0.10"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,89 - 93,5,32.2,91,1,16.0,1.8,0.051,"high cues=1, avg hard=16.0, avg similarity=0.05"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,108 - 113,5,31.8,54,1,378.4,7.2,0.233,"high cues=1, avg hard=378.4, avg similarity=0.23"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,84 - 88,5,31.4,69,2,21.0,1.2,0.144,"high cues=2, avg hard=21.0, avg similarity=0.14"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,36 - 38,5,31.0,75,1,18.8,0.4,0.233,"high cues=1, avg hard=18.8, avg similarity=0.23"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,88 - 92,5,30.8,91,1,15.8,1.8,0.1,"high cues=1, avg hard=15.8, avg similarity=0.10"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,87 - 91,5,29.4,91,1,16.0,1.8,0.143,"high cues=1, avg hard=16.0, avg similarity=0.14"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,35 - 37,5,29.4,75,1,18.8,0.4,0.209,"high cues=1, avg hard=18.8, avg similarity=0.21"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,65 - 69,5,29.0,57,1,25.0,0.0,0.029,"high cues=1, avg hard=25.0, avg similarity=0.03"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,98 - 102,5,28.8,83,1,13.8,1.6,0.139,"high cues=1, avg hard=13.8, avg similarity=0.14"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,4 - 8.5,5,28.8,73,1,10.6,2.4,0.096,"high cues=1, avg hard=10.6, avg similarity=0.10"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,77 - 80.1,5,28.6,58,1,26.4,0.0,0.175,"high cues=1, avg hard=26.4, avg similarity=0.17"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,78 - 80.5,5,28.6,58,1,26.0,0.0,0.17,"high cues=1, avg hard=26.0, avg similarity=0.17"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,79 - 80.6,5,28.6,58,1,25.8,0.0,0.165,"high cues=1, avg hard=25.8, avg similarity=0.16"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,34 - 36.6,5,28.0,75,1,19.0,0.4,0.246,"high cues=1, avg hard=19.0, avg similarity=0.25"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,64 - 68,5,27.6,57,1,25.0,0.0,0.065,"high cues=1, avg hard=25.0, avg similarity=0.07"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,86 - 90,5,27.4,91,1,15.8,1.8,0.131,"high cues=1, avg hard=15.8, avg similarity=0.13"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,3.5 - 8,5,27.4,73,1,10.6,2.4,0.133,"high cues=1, avg hard=10.6, avg similarity=0.13"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,105.7 - 109,5,27.4,57,1,237.8,0.0,0.01,"high cues=1, avg hard=237.8, avg similarity=0.01"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,106 - 110,5,27.4,57,1,238.0,0.0,0.028,"high cues=1, avg hard=238.0, avg similarity=0.03"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,72 - 78,5,26.8,57,2,20.2,0.0,0.179,"high cues=2, avg hard=20.2, avg similarity=0.18"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,107 - 112,5,26.8,54,1,257.6,4.4,0.098,"high cues=1, avg hard=257.6, avg similarity=0.10"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,99 - 103,5,25.8,68,1,10.4,2.4,0.223,"high cues=1, avg hard=10.4, avg similarity=0.22"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,70 - 76,5,25.4,57,2,20.0,0.0,0.226,"high cues=2, avg hard=20.0, avg similarity=0.23"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,93 - 97,5,25.4,47,1,12.0,0.0,0.025,"high cues=1, avg hard=12.0, avg similarity=0.02"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,42 - 46,5,25.2,42,0,19.6,0.0,0.741,"high cues=0, avg hard=19.6, avg similarity=0.74"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,44 - 48,5,25.2,42,0,19.6,0.0,0.741,"high cues=0, avg hard=19.6, avg similarity=0.74"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,46 - 50,5,25.2,42,0,19.6,0.0,0.741,"high cues=0, avg hard=19.6, avg similarity=0.74"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,48 - 52,5,25.2,42,0,19.6,0.0,0.741,"high cues=0, avg hard=19.6, avg similarity=0.74"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,50 - 54,5,25.2,42,0,19.6,0.0,0.741,"high cues=0, avg hard=19.6, avg similarity=0.74"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,52 - 56,5,25.2,42,0,19.6,0.0,0.741,"high cues=0, avg hard=19.6, avg similarity=0.74"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,54 - 58,5,25.2,42,0,19.6,0.0,0.741,"high cues=0, avg hard=19.6, avg similarity=0.74"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,56 - 60,5,25.2,42,0,19.6,0.0,0.741,"high cues=0, avg hard=19.6, avg similarity=0.74"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,33 - 36.5,5,25.0,75,1,19.0,0.4,0.345,"high cues=1, avg hard=19.0, avg similarity=0.35"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,80.1 - 82,5,25.0,65,1,13.2,0.0,0.06,"high cues=1, avg hard=13.2, avg similarity=0.06"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,80.5 - 83,5,25.0,65,1,13.2,0.0,0.074,"high cues=1, avg hard=13.2, avg similarity=0.07"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,100 - 104,5,24.8,68,1,10.4,2.4,0.384,"high cues=1, avg hard=10.4, avg similarity=0.38"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,105.5 - 107,5,24.6,57,1,111.2,0.2,0.16,"high cues=1, avg hard=111.2, avg similarity=0.16"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,71 - 77,5,23.8,57,2,20.2,0.0,0.249,"high cues=2, avg hard=20.2, avg similarity=0.25"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,8 - 10,5,23.6,65,1,4.6,0.2,0.169,"high cues=1, avg hard=4.6, avg similarity=0.17"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,102 - 105.5,5,23.4,68,1,11.0,2.6,0.473,"high cues=1, avg hard=11.0, avg similarity=0.47"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,40 - 44,5,23.2,42,0,19.6,0.0,0.682,"high cues=0, avg hard=19.6, avg similarity=0.68"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,3 - 6,5,22.8,73,1,10.4,2.4,0.236,"high cues=1, avg hard=10.4, avg similarity=0.24"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,103 - 105.6,5,22.8,68,1,11.6,2.6,0.553,"high cues=1, avg hard=11.6, avg similarity=0.55"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,105.6 - 108,5,22.8,57,1,110.6,0.0,0.08,"high cues=1, avg hard=110.6, avg similarity=0.08"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,25 - 27,5,22.6,73,1,13.2,1.6,0.203,"high cues=1, avg hard=13.2, avg similarity=0.20"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,38 - 42,5,22.4,42,0,13.2,0.0,0.441,"high cues=0, avg hard=13.2, avg similarity=0.44"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,66 - 70,5,22.2,43,0,2.8,0.0,0.029,"high cues=0, avg hard=2.8, avg similarity=0.03"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,101 - 105,5,21.6,68,1,10.4,2.4,0.423,"high cues=1, avg hard=10.4, avg similarity=0.42"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,105 - 106,5,21.6,57,1,111.2,0.2,0.258,"high cues=1, avg hard=111.2, avg similarity=0.26"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,1 - 4,5,21.4,91,1,124.8,1.6,0.309,"high cues=1, avg hard=124.8, avg similarity=0.31"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,32 - 36,5,21.2,75,1,15.2,0.4,0.3,"high cues=1, avg hard=15.2, avg similarity=0.30"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,91 - 95,5,21.0,35,0,2.2,0.0,0.047,"high cues=0, avg hard=2.2, avg similarity=0.05"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,58 - 62,5,20.8,42,0,19.6,0.0,0.741,"high cues=0, avg hard=19.6, avg similarity=0.74"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,62 - 66,5,20.0,57,1,29.4,0.0,0.311,"high cues=1, avg hard=29.4, avg similarity=0.31"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,36.6 - 40,5,20.0,32,0,6.6,0.0,0.153,"high cues=0, avg hard=6.6, avg similarity=0.15"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,26 - 28,5,19.6,73,1,13.0,1.6,0.306,"high cues=1, avg hard=13.0, avg similarity=0.31"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,67 - 71,5,19.2,43,0,2.8,0.0,0.11,"high cues=0, avg hard=2.8, avg similarity=0.11"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,8.5 - 11,5,19.0,65,1,4.6,0.2,0.369,"high cues=1, avg hard=4.6, avg similarity=0.37"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,63 - 67,5,19.0,57,1,23.2,0.0,0.176,"high cues=1, avg hard=23.2, avg similarity=0.18"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,92 - 96,5,19.0,35,0,2.2,0.0,0.035,"high cues=0, avg hard=2.2, avg similarity=0.03"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,36.5 - 39,5,19.0,27,0,4.0,0.0,0.164,"high cues=0, avg hard=4.0, avg similarity=0.16"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,19 - 23,5,18.6,33,0,1.0,0.0,0.002,"high cues=0, avg hard=1.0, avg similarity=0.00"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,39 - 43,5,17.8,42,0,13.4,0.0,0.564,"high cues=0, avg hard=13.4, avg similarity=0.56"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,61 - 65,5,17.0,57,1,29.4,0.0,0.445,"high cues=1, avg hard=29.4, avg similarity=0.45"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,69 - 75,5,17.0,47,1,7.4,0.0,0.213,"high cues=1, avg hard=7.4, avg similarity=0.21"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,37 - 41,5,17.0,32,0,6.8,0.0,0.301,"high cues=0, avg hard=6.8, avg similarity=0.30"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,22 - 26,5,17.0,25,0,1.0,0.0,0.0,"high cues=0, avg hard=1.0, avg similarity=0.00"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,90 - 94,5,17.0,25,0,0.8,0.0,0.053,"high cues=0, avg hard=0.8, avg similarity=0.05"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,41 - 45,5,16.8,42,0,13.4,0.0,0.741,"high cues=0, avg hard=13.4, avg similarity=0.74"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,43 - 47,5,16.8,42,0,13.4,0.0,0.741,"high cues=0, avg hard=13.4, avg similarity=0.74"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,45 - 49,5,16.8,42,0,13.4,0.0,0.741,"high cues=0, avg hard=13.4, avg similarity=0.74"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,47 - 51,5,16.8,42,0,13.4,0.0,0.741,"high cues=0, avg hard=13.4, avg similarity=0.74"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,49 - 53,5,16.8,42,0,13.4,0.0,0.741,"high cues=0, avg hard=13.4, avg similarity=0.74"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,51 - 55,5,16.8,42,0,13.4,0.0,0.741,"high cues=0, avg hard=13.4, avg similarity=0.74"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,53 - 57,5,16.8,42,0,13.4,0.0,0.741,"high cues=0, avg hard=13.4, avg similarity=0.74"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,55 - 59,5,16.8,42,0,13.4,0.0,0.741,"high cues=0, avg hard=13.4, avg similarity=0.74"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,57 - 61,5,16.8,42,0,13.4,0.0,0.741,"high cues=0, avg hard=13.4, avg similarity=0.74"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,68 - 72,5,16.2,43,0,2.8,0.0,0.195,"high cues=0, avg hard=2.8, avg similarity=0.20"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,9 - 12,5,16.0,65,1,4.6,0.2,0.536,"high cues=1, avg hard=4.6, avg similarity=0.54"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,17 - 22,5,15.6,33,0,1.0,0.0,0.102,"high cues=0, avg hard=1.0, avg similarity=0.10"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,20 - 24,5,15.0,15,0,1.0,0.0,0.001,"high cues=0, avg hard=1.0, avg similarity=0.00"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,21 - 25,5,15.0,15,0,1.0,0.0,0.0,"high cues=0, avg hard=1.0, avg similarity=0.00"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,26.5 - 29,5,14.6,73,1,12.8,1.6,0.503,"high cues=1, avg hard=12.8, avg similarity=0.50"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,26.8 - 30,5,14.6,73,1,13.0,1.6,0.601,"high cues=1, avg hard=13.0, avg similarity=0.60"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,27 - 31,5,14.6,73,1,13.0,1.6,0.601,"high cues=1, avg hard=13.0, avg similarity=0.60"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,60 - 64,5,14.0,42,0,13.4,0.0,0.592,"high cues=0, avg hard=13.4, avg similarity=0.59"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,23 - 26.5,5,14.0,25,0,0.8,0.0,0.1,"high cues=0, avg hard=0.8, avg similarity=0.10"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,15 - 20,5,12.6,33,0,1.0,0.0,0.202,"high cues=0, avg hard=1.0, avg similarity=0.20"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,16 - 21,5,12.6,33,0,1.0,0.0,0.202,"high cues=0, avg hard=1.0, avg similarity=0.20"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,59 - 63,5,12.4,42,0,13.4,0.0,0.704,"high cues=0, avg hard=13.4, avg similarity=0.70"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,104 - 105.7,5,12.2,24,0,2.0,0.2,0.455,"high cues=0, avg hard=2.0, avg similarity=0.45"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,24 - 26.8,5,11.0,25,0,0.6,0.0,0.2,"high cues=0, avg hard=0.6, avg similarity=0.20"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,14 - 19,5,9.6,33,0,1.0,0.0,0.301,"high cues=0, avg hard=1.0, avg similarity=0.30"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,2 - 5,5,8.2,25,0,0.8,0.0,0.314,"high cues=0, avg hard=0.8, avg similarity=0.31"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,31 - 35,5,6.2,15,0,0.2,0.0,0.3,"high cues=0, avg hard=0.2, avg similarity=0.30"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,30 - 34,5,3.2,8,0,0.4,0.0,0.498,"high cues=0, avg hard=0.4, avg similarity=0.50"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,9.5 - 13,5,3.0,15,0,1.0,0.0,0.701,"high cues=0, avg hard=1.0, avg similarity=0.70"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,11 - 15,5,3.0,15,0,1.0,0.0,0.7,"high cues=0, avg hard=1.0, avg similarity=0.70"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,12 - 16,5,3.0,15,0,1.0,0.0,0.6,"high cues=0, avg hard=1.0, avg similarity=0.60"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,13 - 17,5,3.0,15,0,1.0,0.0,0.5,"high cues=0, avg hard=1.0, avg similarity=0.50"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,28 - 32,5,1.6,8,0,0.2,0.0,0.652,"high cues=0, avg hard=0.2, avg similarity=0.65"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,29 - 33,5,1.6,8,0,0.2,0.0,0.65,"high cues=0, avg hard=0.2, avg similarity=0.65"
sequence:11:Studio_54_main_sequences.xml:1,11,QJU,10 - 14,5,0.0,0,0,1.0,0.0,0.8,"high cues=0, avg hard=1.0, avg similarity=0.80"
