id,preset_type,number,xml_index,name,fixture_ids,fixture_details,references,value_count,source_file
preset:0.36:Tram_Analyz_preset_0.xml:32,0,0.36,35,STREDSTRED FRONT,101 102 201 202,101 | RSpiide3 1 | 7 Robin Spiider Mode 3 | 4.034 || 102 | RSpiide3 2 | 7 Robin Spiider Mode 3 | 4.001 || 201 | SPIDER 33 1 | 7 Robin Spiider Mode 3 | 4.403 || 202 | SPIDER 33 2 | 7 Robin Spiider Mode 3 | 4.436,,68,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.37:Tram_Analyz_preset_0.xml:33,0,0.37,36,Front Velky,101 102 201 202,101 | RSpiide3 1 | 7 Robin Spiider Mode 3 | 4.034 || 102 | RSpiide3 2 | 7 Robin Spiider Mode 3 | 4.001 || 201 | SPIDER 33 1 | 7 Robin Spiider Mode 3 | 4.403 || 202 | SPIDER 33 2 | 7 Robin Spiider Mode 3 | 4.436,,68,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.42:Tram_Analyz_preset_0.xml:34,0,0.42,41,Asteta Main,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40,1 | HelDGB8S 1 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.001 || 2 | HelDGB8S 2 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.025 || 3 | HelDGB8S 3 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.049 || 4 | HelDGB8S 4 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.073 || 5 | HelDGB8S 5 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.097 || 6 | HelDGB8S 6 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.121 || 7 | HelDGB8S 7 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.145 || 8 | HelDGB8S 8 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.169 || 9 | HelDGB8S 9 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.193 || 10 | HelDGB8S 10 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.217 || 11 | HelDGB8S 11 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.241 || 12 | HelDGB8S 12 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.265 || 13 | HelDGB8S 13 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.289 || 14 | HelDGB8S 14 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.313 || 15 | HelDGB8S 15 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.337 || 16 | HelDGB8S 16 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.361 || 17 | HelDGB8S 17 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.385 || 18 | HelDGB8S 18 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.409 || 19 | HelDGB8S 19 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.433 || 20 | HelDGB8S 20 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.457 || 21 | HelDGB8S 21 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.001 || 22 | HelDGB8S 22 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.025 || 23 | HelDGB8S 23 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.049 || 24 | HelDGB8S 24 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.073 || 25 | HelDGB8S 25 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.097 || 26 | HelDGB8S 26 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.121 || 27 | HelDGB8S 27 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.145 || 28 | HelDGB8S 28 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.169 || 29 | HelDGB8S 29 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.193 || 30 | HelDGB8S 30 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.217 || 31 | HelDGB8S 31 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.241 || 32 | HelDGB8S 32 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.265 || 33 | HelDGB8S 33 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.289 || 34 | HelDGB8S 34 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.313 || 35 | HelDGB8S 35 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.337 || 36 | HelDGB8S 36 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.361 || 37 | HelDGB8S 37 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.385 || 38 | HelDGB8S 38 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.409 || 39 | HelDGB8S 39 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.433 || 40 | HelDGB8S 40 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.457,,120,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.43:Tram_Analyz_preset_0.xml:35,0,0.43,42,pravej roh zem,107 108,107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271 || 108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304,,34,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.44:Tram_Analyz_preset_0.xml:36,0,0.44,43,Levy sokl,106,106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166,,17,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.49:Tram_Analyz_preset_0.xml:37,0,0.49,48,Do zdi-Start,107 108,107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271 || 108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304,,34,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.50:Tram_Analyz_preset_0.xml:38,0,0.50,49,Spot Stred,101 102 201 202,101 | RSpiide3 1 | 7 Robin Spiider Mode 3 | 4.034 || 102 | RSpiide3 2 | 7 Robin Spiider Mode 3 | 4.001 || 201 | SPIDER 33 1 | 7 Robin Spiider Mode 3 | 4.403 || 202 | SPIDER 33 2 | 7 Robin Spiider Mode 3 | 4.436,,68,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.53:Tram_Analyz_preset_0.xml:39,0,0.53,52,Kalibrace-stredni zadni kostka,103 104 105 106 107 108,103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067 || 104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100 || 105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133 || 106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166 || 107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271 || 108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304,,102,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.54:Tram_Analyz_preset_0.xml:40,0,0.54,53,Kalibrace - stredy,103 104 105 106,103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067 || 104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100 || 105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133 || 106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166,,68,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.55:Tram_Analyz_preset_0.xml:41,0,0.55,54,Kalibrace kostky,103 104 105 106 107 108,103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067 || 104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100 || 105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133 || 106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166 || 107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271 || 108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304,,102,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.56:Tram_Analyz_preset_0.xml:42,0,0.56,55,Preset 0.56,101 102 103 104 105 106 107 108 201 202,101 | RSpiide3 1 | 7 Robin Spiider Mode 3 | 4.034 || 102 | RSpiide3 2 | 7 Robin Spiider Mode 3 | 4.001 || 103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067 || 104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100 || 105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133 || 106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166 || 107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271 || 108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304 || 201 | SPIDER 33 1 | 7 Robin Spiider Mode 3 | 4.403 || 202 | SPIDER 33 2 | 7 Robin Spiider Mode 3 | 4.436,,170,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.57:Tram_Analyz_preset_0.xml:43,0,0.57,56,Prave schodiste,103,103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067,,16,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.58:Tram_Analyz_preset_0.xml:44,0,0.58,57,Prave schodiste-Klouzacka,103,103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067,,16,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.60:Tram_Analyz_preset_0.xml:45,0,0.60,59,Q53 zacatek TRIO,104 105,104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100 || 105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133,,32,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.65:Tram_Analyz_preset_0.xml:46,0,0.65,64,Hnizdo,105,105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133,,17,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.66:Tram_Analyz_preset_0.xml:47,0,0.66,65,Jirka-Schody,106,106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166,,17,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.68:Tram_Analyz_preset_0.xml:48,0,0.68,67,Zed Wilds,106,106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166,,17,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.70:Tram_Analyz_preset_0.xml:49,0,0.70,69,Labus vilda stred,101 102 201 202,101 | RSpiide3 1 | 7 Robin Spiider Mode 3 | 4.034 || 102 | RSpiide3 2 | 7 Robin Spiider Mode 3 | 4.001 || 201 | SPIDER 33 1 | 7 Robin Spiider Mode 3 | 4.403 || 202 | SPIDER 33 2 | 7 Robin Spiider Mode 3 | 4.436,,32,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.71:Tram_Analyz_preset_0.xml:50,0,0.71,70,Labus vrch,104 105,104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100 || 105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133,,34,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.72:Tram_Analyz_preset_0.xml:51,0,0.72,71,Pravy Schody,103,103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067,,17,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.73:Tram_Analyz_preset_0.xml:52,0,0.73,72,Pravy schody 2,103,103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067,,17,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.75:Tram_Analyz_preset_0.xml:53,0,0.75,74,bert solo,101 102,101 | RSpiide3 1 | 7 Robin Spiider Mode 3 | 4.034 || 102 | RSpiide3 2 | 7 Robin Spiider Mode 3 | 4.001,,34,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.76:Tram_Analyz_preset_0.xml:54,0,0.76,75,Bert na stred,101 102,101 | RSpiide3 1 | 7 Robin Spiider Mode 3 | 4.034 || 102 | RSpiide3 2 | 7 Robin Spiider Mode 3 | 4.001,,34,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.78:Tram_Analyz_preset_0.xml:55,0,0.78,77,Bert zjeveni,21 2 3 4 5 6 7 8 22 23 24 25 26 27 28 29 30 31 32 40 101 102 201 202,21 | HelDGB8S 21 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.001 || 2 | HelDGB8S 2 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.025 || 3 | HelDGB8S 3 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.049 || 4 | HelDGB8S 4 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.073 || 5 | HelDGB8S 5 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.097 || 6 | HelDGB8S 6 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.121 || 7 | HelDGB8S 7 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.145 || 8 | HelDGB8S 8 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.169 || 22 | HelDGB8S 22 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.025 || 23 | HelDGB8S 23 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.049 || 24 | HelDGB8S 24 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.073 || 25 | HelDGB8S 25 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.097 || 26 | HelDGB8S 26 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.121 || 27 | HelDGB8S 27 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.145 || 28 | HelDGB8S 28 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.169 || 29 | HelDGB8S 29 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.193 || 30 | HelDGB8S 30 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.217 || 31 | HelDGB8S 31 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.241 || 32 | HelDGB8S 32 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.265 || 40 | HelDGB8S 40 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.457 || 101 | RSpiide3 1 | 7 Robin Spiider Mode 3 | 4.034 || 102 | RSpiide3 2 | 7 Robin Spiider Mode 3 | 4.001 || 201 | SPIDER 33 1 | 7 Robin Spiider Mode 3 | 4.403 || 202 | SPIDER 33 2 | 7 Robin Spiider Mode 3 | 4.436,,130,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.81:Tram_Analyz_preset_0.xml:56,0,0.81,80,Svicka_Ksicht,101 102,101 | RSpiide3 1 | 7 Robin Spiider Mode 3 | 4.034 || 102 | RSpiide3 2 | 7 Robin Spiider Mode 3 | 4.001,,34,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
